%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 14627.22744074195, 54876.170143624564, -52424.83197746659, -48895.13390006231, -49923.962345595646, -32235.060004599098, -43124.91931020252, -57643.51727289168, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321866984E9, 0.0, 2024-09-27 16:05:32.186
80.0, 14617.99617028191, 54859.98748063892, -52447.56370157763, -48908.32142929095, -49945.55413073947, -32249.789804195145, -43142.91246448904, -57638.152854222404, -44064.29607442571, -42744.9396544623, -94496.22416451266, -25673.727771488164, -50607.00930440537, -45452.31705335582, -60528.59104020489, -90283.16620387629, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321867287E9, 0.0, 2024-09-27 16:05:32.186
82.0, 14626.713350619479, 54857.90876840458, -52445.06030619864, -48887.37784473632, -49910.59600241137, -32223.99589109372, -43120.87364445611, -57628.653362828896, -44055.422431876956, -42737.898854958876, -94550.15892388331, -25670.75498947561, -50597.06277812276, -45438.54837877135, -60631.78904435504, -90277.73472997364, -0.048, 1.012, 0.038, 192.0, 127.0, 64.0, 15.5, 80.0, 0.5, 24.0, 0.0, 0.0, 0.0, 1.7274711321867416E9, 0.0, 2024-09-27 16:05:32.186
84.0, 14621.393635439115, 54863.29553881831, -52438.08656192858, -48900.49831873159, -49940.167360325744, -32204.102838528495, -43142.19720866647, -57635.157720465395, -44067.26885643826, -42743.017404439146, -94495.97829532366, -25676.99112617864, -50610.83145270723, -45435.70970722553, -60579.48596232963, -90264.63660772284, -0.048, 1.012, 0.038, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321867552E9, 0.0, 2024-09-27 16:05:32.186
86.0, 14629.70848437649, 54864.32371906325, -52452.503437102256, -48910.22132756965, -49920.1849007827, -32215.12224854496, -43131.80364749475, -57638.66694434488, -44064.832516292634, -42736.155418891365, -94551.9694151842, -25673.481902299154, -50603.187156103515, -45429.45121877804, -60659.1699313128, -90272.45971828219, -0.048, 1.012, 0.038, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321867676E9, 0.0, 2024-09-27 16:05:32.186
88.0, 14634.581164667747, 54875.901922691104, -52435.82903573859, -48914.78108343853, -49934.69118293419, -32232.511905731193, -43146.06406045724, -57645.46187465929, -44071.49333614032, -42737.407116580864, -94496.04535055702, -25689.50810307361, -50628.33286861573, -45459.71548077053, -60600.87658177335, -90280.55104977502, -0.048, 1.012, 0.038, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.72747113218678E9, 0.0, 2024-09-27 16:05:32.186
90.0, 14621.259524972384, 54873.800858712304, -52463.612254096544, -48904.23106005562, -49937.77572366902, -32227.7062806733, -43148.410993625046, -57655.564863153086, -44064.47488838135, -42727.28177634261, -94552.75172624014, -25691.497408330135, -50605.8917171826, -45447.84670446476, -60677.185437343775, -90292.64334352534, -0.048, 1.0150000000000001, 0.038, 192.0, 127.0, 64.0, 15.5, 104.0, 0.5, 24.0, 0.0, 0.0, 0.0, 1.7274711321867924E9, 0.0, 2024-09-27 16:05:32.186
92.0, 14625.618115141167, 54887.368367596675, -52417.254736096234, -48900.67713268723, -49956.48413377812, -32219.637300924936, -43158.178705952014, -57665.37727896897, -44075.896629798015, -42745.252578884676, -94494.99481856762, -25705.064917214506, -50620.75562724539, -45467.80681226335, -60610.845459800425, -90284.5073085436, -0.048, 1.0150000000000001, 0.038, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321868052E9, 0.0, 2024-09-27 16:05:32.186
94.0, 14633.173004767063, 54847.55991072177, -52501.7443301373, -48909.30490604698, -49939.474456247626, -32251.220315840284, -43134.1282289181, -57661.82335160057, -44076.00838852029, -42741.676299771825, -94572.48831659417, -25714.720870819197, -50636.535958830835, -45459.62607379271, -60681.588731001466, -90310.41298036731, -0.048, 1.0150000000000001, 0.038, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321868217E9, 0.0, 2024-09-27 16:05:32.186
96.0, 14635.497586190413, 54888.284789119345, -52429.212919379825, -48910.73541769212, -49931.5842904549, -32249.27571407267, -43123.73466774639, -57642.22087171327, -44063.938446514425, -42729.293433343584, -94493.63136215585, -25703.47794335818, -50618.36399058867, -45457.033271435896, -60691.06587065052, -90283.43442480975, -0.048, 1.0150000000000001, 0.038, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321868336E9, 0.0, 2024-09-27 16:05:32.186
